O3-1,O3-2,NO2-1,NO2-2,CO-1,CO-2
1151,1286,1151,1286,1176,1306
975,1487,975,1487,1047,1464
1034,1703,1034,1703,1116,1629
980,1773,980,1773,1074,1629
825,1848,825,1848,922,1707
807,1550,807,1550,898,1424
842,1350,842,1350,970,1297
950,1235,950,1235,1073,1214
1024,1162,1024,1162,1081,1160
1098,1211,1098,1211,1159,1232
1011,1097,1011,1097,1112,1134
931,1021,931,1021,1112,1071
811,913,811,913,1063,968
756,909,756,909,1032,994
607,983,607,983,936,1046
498,1024,498,1024,883,1066
540,1243,540,1243,942,1277
544,1253,544,1253,943,1290
620,1240,620,1240,1007,1268
740,1155,740,1155,1037,1243
921,1193,921,1193,1127,1300
1033,1153,1033,1153,1123,1278
984,1034,984,1034,1110,1249
1193,870,1193,870,1247,1145
1219,890,1219,890,1220,1199
913,946,913,946,1028,1236
750,1033,750,1033,978,1289
772,1107,772,1107,949,1299
712,1395,712,1395,910,1506
712,1342,712,1342,863,1432
727,1152,727,1152,836,1193
746,1128,746,1128,856,1188
733,1104,733,1104,888,1162
727,1055,727,1055,912,1106
642,904,642,904,938,1037
810,835,810,835,1053,982
851,781,851,781,1087,944
911,761,911,761,1153,929
611,742,611,742,894,906
368,779,368,779,797,907
369,894,369,894,854,1013
394,927,394,927,892,1055
415,1034,415,1034,935,1138
469,1217,469,1217,989,1250
607,1093,607,1093,1063,1165
498,1073,498,1073,922,1229
481,969,481,969,925,1168
465,777,465,777,924,1092
478,743,478,743,914,1109
366,777,366,777,840,1133
332,819,332,819,799,1192
346,1056,346,1056,856,1298
350,1481,350,1481,830,1524
274,1590,274,1590,753,1540
263,1211,263,1211,785,1190
314,1052,314,1052,835,1092
367,1000,367,1000,865,1079
432,874,432,874,922,995
536,852,536,852,975,960
555,728,555,728,1040,890
677,713,677,713,1115,860
557,734,557,734,1004,860
421,777,421,777,895,883
423,815,423,815,917,929
519,1002,519,1002,1025,1100
533,1302,533,1302,1035,1257
537,1542,537,1542,1025,1402
612,1571,612,1571,1040,1376
697,1614,697,1614,1070,1374
573,1583,573,1583,964,1381
489,1285,489,1285,904,1282
474,1094,474,1094,913,1188
455,1113,455,1113,914,1227
433,1395,433,1395,893,1364
376,1620,376,1620,844,1531
360,1882,360,1882,837,1694
384,2006,384,2006,868,1723
363,1643,363,1643,825,1356
525,1239,525,1239,956,1084
873,1121,873,1121,1124,1039
1399,1012,1399,1012,1496,1011
1501,961,1501,961,1452,968
1186,825,1186,825,1172,867
911,703,911,703,1020,820
919,752,919,752,1044,826
791,741,791,741,1020,835
751,786,751,786,1009,887
805,952,805,952,1073,990
966,1601,966,1601,1098,1511
869,1621,869,1621,1061,1352
1196,1622,1196,1622,1289,1337
1523,1759,1523,1759,1442,1435
1579,1666,1579,1666,1479,1377
1370,1918,1370,1918,1266,1562
1204,1525,1204,1525,1149,1358
1201,1332,1201,1332,1168,1301
1122,1183,1122,1183,1079,1255
1003,1414,1003,1414,1047,1410
918,1680,918,1680,936,1578
836,2004,836,2004,900,1700
759,2094,759,2094,839,1778
755,1780,755,1780,840,1539
820,1640,820,1640,905,1409
998,1379,998,1379,1079,1231
1403,1139,1403,1139,1417,1092
1641,1001,1641,1001,1529,1036
1534,910,1534,910,1397,984
1257,895,1257,895,1214,950
